Date,DayofWeek,Visitor,Home,HomeGameNum,DayNight,Attendance,HomeAllStar,VisitorAllStar,HomeWinPct,VisitorWinPct
20160423,Sat,BAL,KCA,17,N,39900,0,3,0.6875,0.6666666666666666
20160423,Sat,TBA,NYA,16,D,40714,0,0,0.4,0.4375
20160423,Sat,OAK,TOR,19,D,46334,3,0,0.4444444444444444,0.5882352941176471
20160423,Sat,PIT,ARI,19,N,32935,2,1,0.5,0.5294117647058824
20160423,Sat,NYN,ATL,17,N,35230,1,0,0.25,0.5333333333333333
20160423,Sat,CHN,CIN,18,N,41660,1,0,0.47058823529411764,0.7647058823529411
20160423,Sat,LAN,COL,17,N,42179,4,0,0.5625,0.5882352941176471
20160423,Sat,PHI,MIL,18,N,34813,0,1,0.4117647058823529,0.47058823529411764
20160423,Sat,SLN,SDN,18,N,31688,0,0,0.4117647058823529,0.5
20160423,Sat,MIA,SFN,19,N,41886,0,1,0.4444444444444444,0.3333333333333333
20160423,Sat,MIN,WAS,17,D,35974,0,0,0.75,0.29411764705882354
20160424,Sun,SEA,ANA,19,D,37754,0,1,0.4444444444444444,0.47058823529411764
20160424,Sun,TEX,CHA,19,D,26058,0,1,0.6666666666666666,0.5555555555555556
20160424,Sun,CLE,DET,17,D,31947,1,5,0.5,0.5333333333333333
20160424,Sun,BOS,HOU,19,N,32416,3,6,0.3333333333333333,0.47058823529411764
20160424,Sun,BAL,KCA,18,D,34748,0,3,0.6470588235294118,0.6875
20160424,Sun,TBA,NYA,17,D,40981,0,0,0.4375,0.4117647058823529
20160424,Sun,OAK,TOR,20,D,46300,3,0,0.47368421052631576,0.5555555555555556
20160424,Sun,PIT,ARI,20,D,27573,2,1,0.5263157894736842,0.5
20160424,Sun,NYN,ATL,18,D,32085,1,0,0.23529411764705882,0.5625
20160424,Sun,CHN,CIN,19,D,36220,1,0,0.5,0.7222222222222222
20160424,Sun,LAN,COL,18,D,35962,4,0,0.5294117647058824,0.6111111111111112
20160424,Sun,PHI,MIL,19,D,28131,0,1,0.3888888888888889,0.5
20160424,Sun,SLN,SDN,19,D,37395,0,0,0.3888888888888889,0.5294117647058824
20160424,Sun,MIA,SFN,20,D,41509,0,1,0.47368421052631576,0.3125
20160424,Sun,MIN,WAS,18,D,35397,0,0,0.7647058823529411,0.2777777777777778
20160425,Mon,KCA,ANA,20,N,31061,0,0,0.42105263157894735,0.6666666666666666
20160425,Mon,OAK,DET,18,N,21671,1,0,0.47058823529411764,0.5263157894736842
20160425,Mon,CLE,MIN,20,N,17503,0,5,0.2631578947368421,0.5625
20160425,Mon,HOU,SEA,19,N,14832,1,3,0.5,0.3157894736842105
20160425,Mon,BAL,TBA,19,N,12996,0,3,0.4444444444444444,0.6470588235294118
20160425,Mon,NYA,TEX,20,N,31453,1,0,0.5263157894736842,0.4117647058823529
20160425,Mon,CHA,TOR,21,N,24333,3,0,0.5,0.6842105263157895
20160425,Mon,SLN,ARI,21,N,18208,2,0,0.5,0.5555555555555556
20160425,Mon,BOS,ATL,19,N,22735,1,6,0.2222222222222222,0.5
20160425,Mon,PIT,COL,19,N,20674,4,1,0.5,0.5263157894736842
20160425,Mon,MIA,LAN,20,N,44954,0,1,0.631578947368421,0.35294117647058826
20160425,Mon,CIN,NYN,18,N,30250,0,1,0.5882352941176471,0.47368421052631576
20160425,Mon,SDN,SFN,21,N,41266,0,0,0.45,0.3684210526315789
20160426,Tue,KCA,ANA,21,N,34428,0,0,0.45,0.631578947368421
20160426,Tue,OAK,DET,19,N,22256,1,0,0.5,0.5
20160426,Tue,CLE,MIN,21,N,17493,0,5,0.3,0.5294117647058824
20160426,Tue,HOU,SEA,20,N,13821,1,3,0.5263157894736842,0.3
20160426,Tue,BAL,TBA,20,N,10988,0,3,0.47368421052631576,0.6111111111111112
20160426,Tue,NYA,TEX,21,N,26163,1,0,0.5,0.4444444444444444
20160426,Tue,CHA,TOR,22,N,23726,3,0,0.47619047619047616,0.7
20160426,Tue,SLN,ARI,22,N,19074,2,0,0.5238095238095238,0.5263157894736842
20160426,Tue,BOS,ATL,20,N,23487,1,6,0.21052631578947367,0.5263157894736842
20160426,Tue,MIL,CHN,20,N,35861,0,0,0.7368421052631579,0.42105263157894735
20160426,Tue,PIT,COL,20,N,20227,4,1,0.47368421052631576,0.55
20160426,Tue,MIA,LAN,21,N,41102,0,1,0.6,0.3888888888888889
20160426,Tue,CIN,NYN,19,N,26978,0,1,0.6111111111111112,0.45
20160426,Tue,SDN,SFN,22,N,41413,0,0,0.47619047619047616,0.35
20160426,Tue,PHI,WAS,19,N,25097,0,1,0.7777777777777778,0.47368421052631576
20160427,Wed,KCA,ANA,22,N,35142,0,0,0.47619047619047616,0.6
20160427,Wed,ATL,BOS,21,N,33380,6,1,0.55,0.2
20160427,Wed,OAK,DET,20,N,22636,1,0,0.47368421052631576,0.5238095238095238
20160427,Wed,CLE,MIN,22,N,17746,0,5,0.3333333333333333,0.5
20160427,Wed,HOU,SEA,21,N,14173,1,3,0.55,0.2857142857142857
20160427,Wed,BAL,TBA,21,N,11850,0,3,0.5,0.5789473684210527
20160427,Wed,NYA,TEX,22,N,35477,1,0,0.5238095238095238,0.42105263157894735
20160427,Wed,CHA,TOR,23,N,28759,3,0,0.45454545454545453,0.7142857142857143
20160427,Wed,SLN,ARI,23,N,18339,2,0,0.5,0.55
20160427,Wed,PIT,COL,21,N,21354,4,1,0.45,0.5714285714285714
20160427,Wed,MIA,LAN,22,N,38909,0,1,0.5714285714285714,0.42105263157894735
20160427,Wed,CIN,NYN,20,N,31481,0,1,0.631578947368421,0.42857142857142855
20160427,Wed,SDN,SFN,23,D,41357,0,0,0.5,0.3333333333333333
20160427,Wed,PHI,WAS,20,N,24186,0,1,0.7368421052631579,0.5
20160428,Thu,CHA,BAL,21,N,14568,3,0,0.6,0.7272727272727273
20160428,Thu,ATL,BOS,22,N,32232,6,1,0.5714285714285714,0.19047619047619047
20160428,Thu,OAK,DET,21,D,26200,1,0,0.5,0.5
20160428,Thu,SLN,ARI,24,N,18933,2,0,0.4782608695652174,0.5714285714285714
20160428,Thu,MIL,CHN,21,D,32734,0,0,0.75,0.4
20160428,Thu,MIA,LAN,23,N,44009,0,1,0.5454545454545454,0.45
20160428,Thu,PHI,WAS,21,D,22112,0,1,0.7,0.5238095238095238
20160429,Fri,CHA,BAL,22,N,19912,3,0,0.6190476190476191,0.6956521739130435
20160429,Fri,NYA,BOS,23,N,37115,6,0,0.5454545454545454,0.4
20160429,Fri,DET,MIN,23,N,23049,0,1,0.3181818181818182,0.5238095238095238
20160429,Fri,HOU,OAK,24,N,20159,0,3,0.4782608695652174,0.3181818181818182
20160429,Fri,KCA,SEA,22,N,38684,1,0,0.5238095238095238,0.5714285714285714
